Model,Augmentation,Macro-F1
LogReg-100ep-avg,CVAE,0.9246656650439432
LogReg-100ep-avg,GAN,0.9524389448916387
LogReg-100ep-avg,None,0.9524389448916387
LogReg-100ep-avg,SMOTENC,0.952692426540053
LogReg-10ep-avg,CVAE,0.8383599697841561
LogReg-10ep-avg,GAN,0.8578078989625442
LogReg-10ep-avg,None,0.8578078989625442
LogReg-10ep-avg,SMOTENC,0.8576600713700439
LogReg-15ep-avg,CVAE,0.8620310398351622
LogReg-15ep-avg,GAN,0.902332320677338
LogReg-15ep-avg,None,0.902332320677338
LogReg-15ep-avg,SMOTENC,0.9027495693411738
LogReg-1ep-avg,CVAE,0.6473664716272172
LogReg-1ep-avg,GAN,0.6444564613460111
LogReg-1ep-avg,None,0.6444564613460111
LogReg-1ep-avg,SMOTENC,0.6444710647673736
LogReg-20ep-avg,CVAE,0.8726940779375719
LogReg-20ep-avg,GAN,0.9182115993832914
LogReg-20ep-avg,None,0.9182115993832914
LogReg-20ep-avg,SMOTENC,0.9163706006713958
LogReg-25ep-avg,CVAE,0.8843111735851205
LogReg-25ep-avg,GAN,0.9237776501729252
LogReg-25ep-avg,None,0.9237776501729252
LogReg-25ep-avg,SMOTENC,0.9254165153864017
LogReg-2ep-avg,CVAE,0.7591092126987897
LogReg-2ep-avg,GAN,0.7391642536221849
LogReg-2ep-avg,None,0.7391642536221849
LogReg-2ep-avg,SMOTENC,0.7391679369533563
LogReg-30ep-avg,CVAE,0.8877171539072911
LogReg-30ep-avg,GAN,0.9287310785441503
LogReg-30ep-avg,None,0.9287310785441503
LogReg-30ep-avg,SMOTENC,0.928985935119813
LogReg-3ep-avg,CVAE,0.7611400099609154
LogReg-3ep-avg,GAN,0.7332813985656204
LogReg-3ep-avg,None,0.7332813985656204
LogReg-3ep-avg,SMOTENC,0.733308219261759
LogReg-50ep-avg,CVAE,0.9134482342293547
LogReg-50ep-avg,GAN,0.9420286418624094
LogReg-50ep-avg,None,0.9420286418624094
LogReg-50ep-avg,SMOTENC,0.9428522788095473
LogReg-5ep-avg,CVAE,0.7487520697714505
LogReg-5ep-avg,GAN,0.7402051688286372
LogReg-5ep-avg,None,0.7402051688286372
LogReg-5ep-avg,SMOTENC,0.7402806359659811
MLP-100ep-avg,CVAE,0.8221913493564598
MLP-100ep-avg,GAN,0.8879710573670908
MLP-100ep-avg,None,0.8879710573670908
MLP-100ep-avg,SMOTENC,0.899414586793918
MLP-10ep-avg,CVAE,0.8478319000255995
MLP-10ep-avg,GAN,0.8484637562226638
MLP-10ep-avg,None,0.8484637562226638
MLP-10ep-avg,SMOTENC,0.824142147437422
MLP-15ep-avg,CVAE,0.8582275011531576
MLP-15ep-avg,GAN,0.8319140949765845
MLP-15ep-avg,None,0.8319140949765845
MLP-15ep-avg,SMOTENC,0.8549708454353601
MLP-1ep-avg,CVAE,0.708039426503352
MLP-1ep-avg,GAN,0.6775208290013713
MLP-1ep-avg,None,0.6775208290013713
MLP-1ep-avg,SMOTENC,0.655663397385951
MLP-20ep-avg,CVAE,0.8395224020461374
MLP-20ep-avg,GAN,0.8124801843545933
MLP-20ep-avg,None,0.8124801843545933
MLP-20ep-avg,SMOTENC,0.8604263140971907
MLP-25ep-avg,CVAE,0.8628887317905152
MLP-25ep-avg,GAN,0.8691883143186767
MLP-25ep-avg,None,0.8691883143186767
MLP-25ep-avg,SMOTENC,0.8312198622725654
MLP-2ep-avg,CVAE,0.7436645491108971
MLP-2ep-avg,GAN,0.7412927663990998
MLP-2ep-avg,None,0.7412927663990998
MLP-2ep-avg,SMOTENC,0.7467606380534173
MLP-30ep-avg,CVAE,0.8536299710534753
MLP-30ep-avg,GAN,0.884297417438641
MLP-30ep-avg,None,0.884297417438641
MLP-30ep-avg,SMOTENC,0.8726022719823611
MLP-3ep-avg,CVAE,0.7505123778063963
MLP-3ep-avg,GAN,0.7295077446027859
MLP-3ep-avg,None,0.7295077446027859
MLP-3ep-avg,SMOTENC,0.7487660591786446
MLP-50ep-avg,CVAE,0.8444983051061903
MLP-50ep-avg,GAN,0.8763232945334751
MLP-50ep-avg,None,0.8763232945334751
MLP-50ep-avg,SMOTENC,0.8846234803602977
MLP-5ep-avg,CVAE,0.7932340633709426
MLP-5ep-avg,GAN,0.7425155246046761
MLP-5ep-avg,None,0.7425155246046761
MLP-5ep-avg,SMOTENC,0.7789178433635845
RF-100ep-avg,CVAE,0.9964616846561091
RF-100ep-avg,GAN,0.9966303401544151
RF-100ep-avg,None,0.9966303401544151
RF-100ep-avg,SMOTENC,0.9965433284288335
RF-10ep-avg,CVAE,0.9964616846561091
RF-10ep-avg,GAN,0.9966303401544151
RF-10ep-avg,None,0.9966303401544151
RF-10ep-avg,SMOTENC,0.9965433284288335
RF-15ep-avg,CVAE,0.9964616846561091
RF-15ep-avg,GAN,0.9966303401544151
RF-15ep-avg,None,0.9966303401544151
RF-15ep-avg,SMOTENC,0.9965433284288335
RF-1ep-avg,CVAE,0.9964616846561091
RF-1ep-avg,GAN,0.9966303401544151
RF-1ep-avg,None,0.9966303401544151
RF-1ep-avg,SMOTENC,0.9965433284288335
RF-20ep-avg,CVAE,0.9964616846561091
RF-20ep-avg,GAN,0.9966303401544151
RF-20ep-avg,None,0.9966303401544151
RF-20ep-avg,SMOTENC,0.9965433284288335
RF-25ep-avg,CVAE,0.9964616846561091
RF-25ep-avg,GAN,0.9966303401544151
RF-25ep-avg,None,0.9966303401544151
RF-25ep-avg,SMOTENC,0.9965433284288335
RF-2ep-avg,CVAE,0.9964616846561091
RF-2ep-avg,GAN,0.9966303401544151
RF-2ep-avg,None,0.9966303401544151
RF-2ep-avg,SMOTENC,0.9965433284288335
RF-30ep-avg,CVAE,0.9964616846561091
RF-30ep-avg,GAN,0.9966303401544151
RF-30ep-avg,None,0.9966303401544151
RF-30ep-avg,SMOTENC,0.9965433284288335
RF-3ep-avg,CVAE,0.9964616846561091
RF-3ep-avg,GAN,0.9966303401544151
RF-3ep-avg,None,0.9966303401544151
RF-3ep-avg,SMOTENC,0.9965433284288335
RF-50ep-avg,CVAE,0.9964616846561091
RF-50ep-avg,GAN,0.9966303401544151
RF-50ep-avg,None,0.9966303401544151
RF-50ep-avg,SMOTENC,0.9965433284288335
RF-5ep-avg,CVAE,0.9964616846561091
RF-5ep-avg,GAN,0.9966303401544151
RF-5ep-avg,None,0.9966303401544151
RF-5ep-avg,SMOTENC,0.9965433284288335
XGB-100ep-avg,CVAE,0.9969503631938162
XGB-100ep-avg,GAN,0.9967824588451183
XGB-100ep-avg,None,0.9967824588451183
XGB-100ep-avg,SMOTENC,0.996744054718203
XGB-10ep-avg,CVAE,0.9969503631938162
XGB-10ep-avg,GAN,0.9967824588451183
XGB-10ep-avg,None,0.9967824588451183
XGB-10ep-avg,SMOTENC,0.996744054718203
XGB-15ep-avg,CVAE,0.9969503631938162
XGB-15ep-avg,GAN,0.9967824588451183
XGB-15ep-avg,None,0.9967824588451183
XGB-15ep-avg,SMOTENC,0.996744054718203
XGB-1ep-avg,CVAE,0.9969503631938162
XGB-1ep-avg,GAN,0.9967824588451183
XGB-1ep-avg,None,0.9967824588451183
XGB-1ep-avg,SMOTENC,0.996744054718203
XGB-20ep-avg,CVAE,0.9969503631938162
XGB-20ep-avg,GAN,0.9967824588451183
XGB-20ep-avg,None,0.9967824588451183
XGB-20ep-avg,SMOTENC,0.996744054718203
XGB-25ep-avg,CVAE,0.9969503631938162
XGB-25ep-avg,GAN,0.9967824588451183
XGB-25ep-avg,None,0.9967824588451183
XGB-25ep-avg,SMOTENC,0.996744054718203
XGB-2ep-avg,CVAE,0.9969503631938162
XGB-2ep-avg,GAN,0.9967824588451183
XGB-2ep-avg,None,0.9967824588451183
XGB-2ep-avg,SMOTENC,0.996744054718203
XGB-30ep-avg,CVAE,0.9969503631938162
XGB-30ep-avg,GAN,0.9967824588451183
XGB-30ep-avg,None,0.9967824588451183
XGB-30ep-avg,SMOTENC,0.996744054718203
XGB-3ep-avg,CVAE,0.9969503631938162
XGB-3ep-avg,GAN,0.9967824588451183
XGB-3ep-avg,None,0.9967824588451183
XGB-3ep-avg,SMOTENC,0.996744054718203
XGB-50ep-avg,CVAE,0.9969503631938162
XGB-50ep-avg,GAN,0.9967824588451183
XGB-50ep-avg,None,0.9967824588451183
XGB-50ep-avg,SMOTENC,0.996744054718203
XGB-5ep-avg,CVAE,0.9969503631938162
XGB-5ep-avg,GAN,0.9967824588451183
XGB-5ep-avg,None,0.9967824588451183
XGB-5ep-avg,SMOTENC,0.996744054718203
